101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100000	Centrala                                                                                                                                    	C-la           	Warszawa                      	ul. ówi©tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 185 10 10        	                    	22 185 23 09        	                    	1945-01-15	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100039	Centrala - Departament Systemu Pàatniczego                                                                                                  	C-inne         	Warszawa                      	ul. ówi©tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 620 83 38        	                    	22 185 10 39        	                    	1993-04-05	           	           	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100055	Centrala - B2B Collect                                                                                                                      	C-la           	Warszawa                      	ul. ówi©tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 185 10 10        	                    	22 185 23 09        	                    	2008-04-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100068	Centrala - NBPCollect                                                                                                                       	C-la           	Warszawa                      	ul. ówi©tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 185 10 10        	                    	22 185 23 09        	                    	2008-10-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10100071	Centrala - B2B-2                                                                                                                            	C-la           	Warszawa                      	ul. ówi©tokrzyska 11/21                 	00-919	Warszawa                      	1011  	      	            	22 185 10 10        	                    	22 185 23 09        	                    	2016-08-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101010	Oddziaà Okr©gowy w Warszawie                                                                                                                	O/Okr.         	Warszawa                      	pl. Powsta‰c¢w Warszawy 4               	00-950	Warszawa                      	1017  	      	            	22 185 10 03        	22 185 10 16        	22 185 25 28        	22 185 27 89        	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101023	Oddziaà Okr©gowy w Warszawie - Rozliczenia ZUS                                                                                              	O/Okr.         	Warszawa                      	pl. Powsta‰c¢w Warszawy 4               	00-950	Warszawa                      	1017  	      	            	22 185 10 03        	22 185 10 16        	22 185 25 28        	22 185 27 89        	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101049	Oddziaà Okr©gowy w Biaàymstoku                                                                                                              	O/Okr.         	Biaàystok                     	ul. Pi©kna 1                            	15-282	Biaàystok                     	2     	      	            	22 108 58 01        	                    	22 108 58 03        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	PODLASKIE             	Biaàystok                	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101078	Oddziaà Okr©gowy w Bydgoszczy                                                                                                               	O/Okr.         	Bydgoszcz                     	ul. Jagiello‰ska 8                      	85-067	Bydgoszcz                     	      	      	            	22 180 22 72        	                    	22 180 23 09        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	KUJAWSKO-POMORSKIE    	Bydgoszcz                	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101140	Oddziaà Okr©gowy w Gda‰sku                                                                                                                  	O/Okr.         	Gda‰sk                        	ul. Okopowa 1                           	80-958	Gda‰sk                        	      	      	            	22 185 85 25        	                    	22 185 85 09        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	POMORSKIE             	Gda‰sk                   	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101212	Oddziaà Okr©gowy w Katowicach                                                                                                               	O/Okr.         	Katowice                      	ul. Bankowa 1                           	40-007	Katowice                      	143   	40-950	            	22 183 21 02        	                    	22 183 21 60        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	óL§SKIE               	Katowice                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101238	Oddziaà Okr©gowy w Kielcach                                                                                                                 	O/Okr.         	Kielce                        	ul. Warszawska 46                       	25-312	Kielce                        	661   	      	            	22 184 11 27        	                    	22 184 11 01        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	óWI®TOKRZYSKIE        	Kielce                   	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101270	Oddziaà Okr©gowy w Krakowie                                                                                                                 	O/Okr.         	Krak¢w                        	ul. Basztowa 20                         	30-960	Krak¢w                        	553   	      	            	22 181 21 68        	                    	22 181 23 06        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	MAùOPOLSKIE           	Krak¢w                   	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101339	Oddziaà Okr©gowy w Lublinie                                                                                                                 	O/Okr.         	Lublin                        	ul. Chopina 6                           	20-026	Lublin                        	36    	      	            	22 108 16 02        	                    	22 108 15 01        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	LUBELSKIE             	Lublin                   	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101371	Oddziaà Okr©gowy w ùodzi                                                                                                                    	O/Okr.         	ù¢d´                          	al. Tadeusza Koòciuszki 14              	90-950	ù¢d´                          	142   	      	            	22 184 27 04        	                    	22 184 27 07        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	ù‡DZKIE               	ù¢d´                     	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101397	Oddziaà Okr©gowy w Olsztynie                                                                                                                	O/Okr.         	Olsztyn                       	al. Marszaàka J. Piàsudskiego 11/17     	10-575	Olsztyn                       	      	      	            	22 108 95 00        	                    	22 108 95 06        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	WARMI„SKO-MAZURSKIE   	Olsztyn                  	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101401	Oddziaà Okr©gowy w Opolu                                                                                                                    	O/Okr.         	Opole                         	ul. ks. Konstantego Damrota 2b          	45-950	Opole                         	335   	45-950	            	22 187 75 50        	                    	22 187 75 59        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	OPOLSKIE              	Opole                    	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101469	Oddziaà Okr©gowy w Poznaniu                                                                                                                 	O/Okr.         	Pozna‰                        	al. Marcinkowskiego 12                  	60-967	Pozna‰                        	510   	      	            	22 186 12 62        	                    	22 186 15 00        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	WIELKOPOLSKIE         	Pozna‰                   	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101528	Oddziaà Okr©gowy w Rzeszowie                                                                                                                	O/Okr.         	Rzesz¢w                       	ul. 3 Maja 12                           	35-959	Rzesz¢w                       	6     	      	            	22 181 72 33        	                    	22 181 71 01        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	PODKARPACKIE          	Rzesz¢w                  	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101599	Oddziaà Okr©gowy w Szczecinie                                                                                                               	O/Okr.         	Szczecin                      	ul. Teofila Starzy‰skiego 1             	70-506	Szczecin                      	666   	      	            	22 189 15 24        	                    	22 189 19 11        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	ZACHODNIOPOMORSKIE    	Szczecin                 	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101674	Oddziaà Okr©gowy we Wrocàawiu                                                                                                               	O/Okr.         	Wrocàaw                       	ul. Ofiar Oòwi©cimskich 41/43           	50-059	Wrocàaw                       	1470  	      	            	22 187 13 04        	                    	22 187 13 18        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	DOLNOóL§SKIE          	Wrocàaw                  	                              	                                        	      	                              	      	     	     	
101  	Narodowy Bank Polski                                                                                                                        	                                                                                                    	101                                               	10101704	Oddziaà Okr©gowy w Zielonej G¢rze                                                                                                           	O/Okr.         	Zielona G¢ra                  	al. Wojska Polskiego 25                 	65-950	Zielona G¢ra                  	154   	65-001	            	22 186 85 02        	22 186 25 00        	22 186 85 17        	                    	1989-01-01	NBPLPLPWXXX	NBPLPLPWXXX	www.nbp.pl                                        	LUBUSKIE              	Zielona G¢ra             	                              	                                        	      	                              	      	     	     	
102  	Powszechna Kasa Oszcz©dnoòci Bank Polski Sp¢àka Akcyjna                                                                                     	PKO Bank Polski SA, PKO BP SA, IKO, iPKO, Inteligo, SKO                                             	144,9045,102,70210                                	10200003	Departament Rozlicze‰                                                                                                                       	C-la           	Warszawa                      	ul. Puàawska 15                         	02-515	Warszawa                      	      	      	            	22 580 33 92        	                    	                    	                    	1987-11-01	BPKOPLPWXXX	BPKOPLPWXXX	www.pkobp.pl                                      	MAZOWIECKIE           	Warszawa                 	                              	                                        	      	                              	      	     	     	
